Content-Type: text/plain; charset=ISO-8859-1

Date de debut : 1/5/2013,
Date de fin : 31/5/2013,
Projet Codex|Description|Cree le|Organisation|Administrateur|Nom|Email|Activite CVS|ActiviteSVN|Push Git|Fichiers publie|Fichiers publies (total)|Fichiers telecharges (total)|Telechargements|Listes de diffusion actives|Listes de diffusion inactives|Forums actifs|Forums inactifs|Activites Forum|Documents wiki|Pages modifiees|Pages wiki (total)|Artifacts ouverts|Artifacts fermes|Utilisateurs ajoutes|Code projet|Documents ajoutes|Documents effaces|News publiees|Sondages actif|Reponses sondages|IntegrationContinueActive|IntegrationContinueJobs|
"TestTrackerTemplate"|"dffd"|2012-01-09|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Agile Project Test"|"etret"|2012-07-23|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|
"PerfCrossTrackersSearch"|"test"|2012-10-17|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"testSOAP3"|""|2012-01-25|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"trtrtrtrtrttrtr"|"dfsdfsdfdsfdsf"|2013-01-18|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Test Git Link"|"gfgf"|2011-08-29|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"FullTextSearch"|"fhgh"|2012-03-14|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|1|4|0|0|0|0|0|0|0|0|0|0|0|
"Customer"|"sfdf"|2012-04-19|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"testDuplicate1"|"tng"|2011-10-28|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"EricssonJira"|"yyyyyyy"|2012-10-11|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"test_tracker_migration_martin"|",hg,hg,"|2012-10-30|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Cross Tracker Search"|"fdfd"|2012-03-13|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|1|0|3|0|0|1|5|3|0|0|0|0|1|0|0|0|0|0|0|
"Codendi Administration Project"|"Codendi Administration Project"|1999-10-15|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Agile Template Duplicated 5"|"sgd"|2012-04-18|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Test Subversion"|"cccc"|2012-06-26|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Import AD template"|"Import AD template"|2013-04-29|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|74|2|0|0|0|0|0|0|0|0|0|0|0|
"Release View project"|"vvv"|2012-03-22|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|0|4|0|0|0|0|0|0|0|0|0|0|0|
"Agile Project"|"gjgj"|2012-07-03|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|1|0|0|1|0|3|0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|
"Soap Creation"|""|2013-02-04|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Agile Template"|"ddd"|2012-04-17|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Permissions"|"dsd"|2012-04-25|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Mediawiki"|"dsds"|2012-11-21|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|1|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"New Agile Project"|"nap"|2013-04-17|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|4|5|0|0|0|0|0|0|3|0|0|0|256|7|0|0|0|0|1|1|0|0|0|0|0|
"One step"|"dsdsdsd"|2013-01-18|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Site News"|"Site News Private Project. All Site News should be posted from this project"|1999-10-15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestAgileDashboardNotTemp"|"vfgf"|2012-09-17|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestProject4"|"ee"|2011-08-16|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Shared Fields 3"|"ssdsd"|2012-02-22|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Release View project duplicated"|"ddd"|2012-04-17|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"MigrationTest"|"fdfdf"|2012-10-26|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
